route_id,agency_id,route_short_name,route_long_name,route_type
13 TOKİ-BL.EVLERİ,SAMULAS,13 TOKİ-BL.EVLERİ,13 KAMALI TOKİ - SOĞUKSU,3
13  BL.EVLERİ-TOKİ,SAMULAS,13  BL.EVLERİ-TOKİ,13 SOĞUKSU - KAMALI TOKİ,3
12/17 BEL.EVLERİ-ÜNİVERSİTE,SAMULAS,12/17 BEL.EVLERİ-ÜNİVERSİTE,12 SOĞUKSU - OMÜ,3
17/12 ÜNİVERSİTE-BEL.EVLERİ,SAMULAS,17/12 ÜNİVERSİTE-BEL.EVLERİ,12 OMÜ - SOĞUKSU,3
19 BEL.EVLERİ-PELİTKÖY,SAMULAS,19 BEL.EVLERİ-PELİTKÖY,19 SOĞUKSU - BÜYÜK OYUMCA,3
19 B PELİTKÖY-BEL.EVLERİ,SAMULAS,19 B PELİTKÖY-BEL.EVLERİ,19 BÜYÜK OYUMCA - SOĞUKSU,3
24 ÜNİVERSİTE-OTOGAR,SAMULAS,24 ÜNİVERSİTE-OTOGAR,24A OMÜ - BARIŞ BULVARI - OTOGAR,3
24 OTOGAR-ÜNİVERSİTE,SAMULAS,24 OTOGAR-ÜNİVERSİTE,24A OTOGAR - BARIŞ BULVARI - OMÜ,3
3 TÜRKİŞ AKTARMA-OTOGAR,SAMULAS,3 TÜRKİŞ AKTARMA-OTOGAR,3 TÜRKİŞ AKTARMA - OTOGAR,3
3 OTOGAR-TÜRKİŞ AKTARMA,SAMULAS,3 OTOGAR-TÜRKİŞ AKTARMA,3 OTOGAR - TÜRKİŞ AKTARMA,3
26 ÜNİVERSİTE-B.EVLERİ,SAMULAS,26 ÜNİVERSİTE-B.EVLERİ,26 OMÜ - EĞİTİM ARAŞTIRMA - SOĞUKSU,3
26/17 B.EVLERİ-ÜNİVERSİTE,SAMULAS,26/17 B.EVLERİ-ÜNİVERSİTE,26 SOĞUKSU - EĞİTİM ARAŞTIRMA - OMÜ,3
14 C.MEYDANI ATAKÖY,SAMULAS,14 C.MEYDANI ATAKÖY,14 BÜYÜKCAMİ - ATAKÖY - EĞİTİM ARAŞTIRMA,3
14 ATAKÖY-C.MEYDANI,SAMULAS,14 ATAKÖY-C.MEYDANI,14 EĞİTİM ARAŞTIRMA - ATAKÖY - BÜYÜKCAMİ,3
SAMULAŞ EKSPRES 6-GİDİŞ,SAMULAS,SAMULAŞ EKSPRES 6-GİDİŞ,E6 OMÜ - İLKADIM GENÇLİK MERKEZİ,3
