WKT,ad,açıklama
"LINESTRING (36.341622 41.285949, 36.340558 41.286677, 36.339686 41.287349, 36.338594 41.288316, 36.337809 41.289094, 36.336843 41.290292, 36.336398 41.2908, 36.335653 41.291681, 36.334926 41.292824, 36.334485 41.293501, 36.334188 41.294249, 36.334075 41.294642, 36.333897 41.295067, 36.333725 41.295549, 36.333511 41.296073, 36.333158 41.296979, 36.332923 41.297598, 36.332675 41.298429, 36.3325 41.299075, 36.332256 41.299874, 36.332083 41.300479, 36.331901 41.30118, 36.331779 41.301738, 36.331632 41.302346, 36.331557 41.302594, 36.331465 41.30273, 36.331289 41.302967, 36.331065 41.303229, 36.331034 41.303508, 36.331155 41.303792, 36.331259 41.304036, 36.331381 41.304337, 36.331581 41.304681, 36.332024 41.305317, 36.332753 41.306363, 36.333154 41.306923, 36.333832 41.307857, 36.334092 41.308257, 36.334717 41.30921, 36.335162 41.309885, 36.335344 41.31021, 36.335538 41.31061, 36.335697 41.310943, 36.335782 41.311208, 36.335847 41.311483, 36.335875 41.31175, 36.335893 41.312126, 36.335916 41.312653, 36.335901 41.313097, 36.335831 41.313572, 36.335688 41.314063, 36.33555 41.314384, 36.33545 41.314561, 36.335308 41.314805, 36.3351 41.315116, 36.334922 41.315322, 36.334737 41.31554, 36.334449 41.315806, 36.334174 41.316029, 36.333839 41.316253, 36.333547 41.316457, 36.332933 41.316816, 36.332533 41.31708, 36.331732 41.317573, 36.330475 41.318425, 36.329105 41.318961, 36.327228 41.319264, 36.325321 41.319679, 36.323695 41.320096, 36.322204 41.320469, 36.321304 41.320699, 36.319482 41.321065, 36.31811 41.321342, 36.316415 41.321617, 36.314984 41.321851, 36.312484 41.321883, 36.31117 41.32191, 36.309184 41.322065, 36.307631 41.322463, 36.306661 41.322766, 36.305388 41.323116, 36.303237 41.323819, 36.301437 41.324347, 36.299697 41.324634, 36.298233 41.324768, 36.297192 41.324655, 36.296525 41.324513, 36.295795 41.324254, 36.295055 41.324108, 36.294003 41.324174, 36.292806 41.324473, 36.291307 41.324757, 36.290193 41.325129, 36.289048 41.325781, 36.287721 41.326565, 36.286862 41.326933, 36.285564 41.327609, 36.284367 41.328295, 36.282869 41.329009, 36.281684 41.329585, 36.28047 41.329973, 36.279096 41.330378, 36.278229 41.330561, 36.277515 41.330668, 36.276745 41.330836, 36.275671 41.331022, 36.274725 41.331183, 36.274055 41.331333, 36.273384 41.331503, 36.272543 41.331726, 36.271554 41.331973, 36.270555 41.332231, 36.269758 41.332403, 36.26883 41.332606, 36.267964 41.332795, 36.267194 41.33297, 36.266283 41.333154, 36.265484 41.333343, 36.264525 41.333661, 36.264071 41.33384, 36.263466 41.334122, 36.262784 41.334529, 36.261809 41.335101, 36.260778 41.335717, 36.259897 41.336245, 36.259251 41.336626, 36.258369 41.337014, 36.257482 41.337404, 36.256461 41.3378, 36.255121 41.338225, 36.25393 41.338562, 36.252935 41.338806, 36.25109 41.339278, 36.249878 41.339615, 36.249321 41.339844, 36.248898 41.340107, 36.248498 41.340407, 36.247961 41.340912, 36.247367 41.34148, 36.246901 41.341933, 36.24645 41.342372, 36.24588 41.342926, 36.245289 41.343493, 36.244578 41.344149, 36.24419 41.344519, 36.243771 41.344947, 36.243203 41.345549, 36.242715 41.346044, 36.241955 41.346798, 36.241411 41.347336, 36.240635 41.348053, 36.240214 41.34853, 36.239454 41.349437, 36.238809 41.350189, 36.238138 41.350955, 36.237458 41.351814, 36.236957 41.352449, 36.236368 41.353311, 36.235886 41.353941, 36.235505 41.354428, 36.235125 41.35491, 36.234851 41.355317, 36.234488 41.355908, 36.234307 41.35619, 36.233932 41.356792, 36.233592 41.357389, 36.233229 41.358004, 36.232817 41.358563, 36.232508 41.358946, 36.232287 41.359122, 36.232043 41.359286, 36.231684 41.359509, 36.231466 41.359678, 36.231281 41.359914, 36.231097 41.360212, 36.230902 41.360451, 36.23066 41.360711, 36.230363 41.360993, 36.229553 41.361713, 36.229049 41.362187, 36.228422 41.36276, 36.228189 41.363012, 36.228045 41.363286, 36.227989 41.363534, 36.227852 41.363998, 36.227738 41.364523, 36.227652 41.364937, 36.22751 41.365745, 36.227425 41.366109, 36.227315 41.366456, 36.227126 41.367056, 36.226939 41.367611, 36.226582 41.368722, 36.226244 41.369842, 36.22612 41.370179, 36.225874 41.370598, 36.22562 41.371022, 36.225317 41.371366, 36.224807 41.371891, 36.224478 41.372226)",Samsun Hafif Raylı Sistem Hattı,Samsun Hafif Raylı Sistem Hattı
"POINT (36.1963481 41.371459)",Yurtlar,
"POINT (36.1894039 41.3688282)",Eğitim Fakültesi,
"POINT (36.1880172 41.3658309)",Yaşam Merkezi,
"POINT (36.1946932 41.3673949)",Sağlık Bilimleri,
"POINT (36.2038514 41.3674944)",Diş Hekimliği,
"POINT (36.2094346 41.3727461)",Tıp Fakültesi,
"POINT (36.2220946 41.3749038)",Lojmanlar,
"POINT (36.225325 41.371346)",OMÜ Rektörlük / Batı Garajı,
"POINT (36.227275 41.366671)",Körfez İstasyonu,
"POINT (36.229886 41.361419)",Pelitköy İstasyonu,
"POINT (36.234877 41.355297)",Kurupelit İstasyonu,
"POINT (36.2379 41.351293)",Yeni Mahalle İstasyonu,
"POINT (36.245164 41.343635)",Atakent İstasyonu,
"POINT (36.252066 41.339047)",Çobanlı İstasyonu,
"POINT (36.259325 41.336592)",Ömürevleri İstasyonu,
"POINT (36.270385 41.3323)",Türkiş İstasyonu,
"POINT (36.281942 41.329431)",Mimar Sinan İstasyonu,
"POINT (36.286672 41.326999)",Atakum Belediyesi İstasyonu,
"POINT (36.295709 41.324212)",Denizevleri İstasyonu,
"POINT (36.305607 41.323038)",Karayolları İstasyonu,
"POINT (36.313453 41.321855)",Güzel Sanatlar İstasyonu,
"POINT (36.321993 41.320651)",Baruthane İstasyonu,
"POINT (36.335111 41.309796)",Fener İstasyonu,
"POINT (36.331861 41.305077)",Gençlik Parkı İstasyonu,
"POINT (36.332359 41.299529)",Liman İstasyonu,
"POINT (36.333731 41.295527)",Büyük Cami İstasyonu,
"POINT (36.336607 41.290548)",Cumhuriyet Meydanı İstasyonu,
"POINT (36.340507 41.286707)",Gar İstasyonu,
"POINT (36.346342 41.282623)",Kılıçdede İstasyonu,
"POINT (36.355752 41.276771)",Samsunspor İstasyonu,
"POINT (36.3647931 41.2733097)",Belediyeevleri İstasyonu,
"POINT (36.373208 41.270483)",Mavi Işıklar İstasyonu,
"POINT (36.379675 41.266575)",Balıkçı Barınağı ,
"POINT (36.397356 41.248158)",Asarağaç İstasyonu,
"POINT (36.401884 41.24538)",Kirazlık İstasyonu,
"POINT (36.407934 41.241601)",Örnek Sanayi İstasyonu,
"POINT (36.413674 41.237859)",İlkadım Sanayi İstasyonu,
"POINT (36.420185 41.233584)",19 Mayıs Sanayi,
"POINT (36.425372 41.230196)",Organize Sanayi İstasyonu,
"POINT (36.430533 41.229221)",Kerimbey İstasyonu,
"POINT (36.440954 41.228303)",Cumhuriyet İstasyonu,
"POINT (36.453291 41.225090)",Tekkeköy İstasyonu,
"POINT (36.455577 41.228857)",Stadyum İstasyonu,
